TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.194     0.652E-01  40.6      44.3      10.4      5.80603  30619.  -2.7611   0.4349   5.820             0.46840       859.98505            8.32 100.0   0.0   0.0   0.084  17.0     117.9 193.4 147.8 183.0 180.0 159.5 117.9
 0 0.201     0.676E-01  40.4      44.1      10.4      5.80695  30625.  -2.8296   0.4512   5.821             0.46869       860.51294            8.32 100.0   0.0   0.0   0.084  17.0     117.7 193.4 148.1 182.9 180.0 159.6 117.9
 0 0.208     0.700E-01  40.3      43.9      10.4      5.80784  30631.  -2.8981   0.4675   5.823             0.46897       861.02319            8.32 100.0   0.0   0.0   0.084  16.9     117.6 193.4 148.4 182.8 180.0 159.7 118.0
 0 0.215     0.724E-01  40.2      43.7      10.5      5.80870  30636.  -2.9665   0.4838   5.824             0.46923       861.51367            8.32 100.0   0.0   0.0   0.084  16.9     117.4 193.4 148.7 182.7 180.0 159.8 118.0
 0 0.223     0.747E-01  40.0      43.4      10.5      5.80952  30641.  -3.0347   0.5000   5.826             0.46949       861.98572            8.32 100.0   0.0   0.0   0.084  16.8     117.2 193.4 149.0 182.6 180.0 159.9 118.0
 0 0.230     0.771E-01  39.9      43.2      10.5      5.81032  30647.  -3.1028   0.5162   5.827             0.46974       862.44000            8.32 100.0   0.0   0.0   0.084  16.8     117.0 193.4 149.3 182.5 180.0 160.0 118.0
 0 0.237     0.794E-01  39.8      43.0      10.6      5.81108  30651.  -3.1709   0.5324   5.829             0.46998       862.87610            8.32 100.0   0.0   0.0   0.084  16.7     116.9 193.4 149.7 182.4 180.0 160.0 118.0
 0 0.244     0.817E-01  39.6      42.8      10.6      5.81181  30656.  -3.2389   0.5486   5.830             0.47021       863.29688            8.32 100.0   0.0   0.0   0.084  16.7     116.7 193.4 150.0 182.3 180.0 160.1 118.0
 0 0.251     0.841E-01  39.5      42.6      10.6      5.81251  30661.  -3.3068   0.5647   5.832             0.47042       863.69952            8.32 100.0   0.0   0.0   0.084  16.6     116.5 193.4 150.3 182.2 180.0 160.2 118.1
 0 0.258     0.864E-01  39.4      42.4      10.7      5.81319  30665.  -3.3745   0.5809   5.833             0.47063       864.08514            8.32 100.0   0.0   0.0   0.083  16.6     116.3 193.4 150.6 182.1 180.0 160.3 118.1
