  L (Re)    Alt (km) ID   n(cm-3)      %H+     %He+     %O+
  2.42     0.905E+04  0  129.      100.      0.00      0.00    
  2.44     0.917E+04  0  127.      100.      0.00      0.00    
  2.46     0.930E+04  0  125.      100.      0.00      0.00    
  2.48     0.943E+04  0  124.      100.      0.00      0.00    
  2.50     0.956E+04  0  122.      100.      0.00      0.00    
  2.52     0.968E+04  0  121.      100.      0.00      0.00    
  2.54     0.981E+04  0  119.      100.      0.00      0.00    
  2.56     0.994E+04  0  118.      100.      0.00      0.00    
  2.58     0.101E+05  0  117.      100.      0.00      0.00    
  2.60     0.102E+05  0  115.      100.      0.00      0.00    
  2.62     0.103E+05  0  114.      100.      0.00      0.00    
  2.64     0.104E+05  0  113.      100.      0.00      0.00    
  2.66     0.106E+05  0  112.      100.      0.00      0.00    
  2.68     0.107E+05  0  110.      100.      0.00      0.00    
  2.70     0.108E+05  0  109.      100.      0.00      0.00    
  2.72     0.110E+05  0  108.      100.      0.00      0.00    
  2.74     0.111E+05  0  107.      100.      0.00      0.00    
  2.76     0.112E+05  0  106.      100.      0.00      0.00    
  2.78     0.113E+05  0  105.      100.      0.00      0.00    
  2.80     0.115E+05  0  104.      100.      0.00      0.00    
  2.82     0.116E+05  0  103.      100.      0.00      0.00    
  2.84     0.117E+05  0  102.      100.      0.00      0.00    
  2.86     0.119E+05  0  101.      100.      0.00      0.00    
  2.88     0.120E+05  0  100.      100.      0.00      0.00    
  2.90     0.121E+05  0  99.3      100.      0.00      0.00    
  2.92     0.122E+05  0  98.4      100.      0.00      0.00    
  2.94     0.124E+05  0  97.5      100.      0.00      0.00    
  2.96     0.125E+05  0  96.7      100.      0.00      0.00    
  2.98     0.126E+05  0  95.8      100.      0.00      0.00    
  3.00     0.127E+05  0  95.0      100.      0.00      0.00    
  3.02     0.129E+05  0  94.2      100.      0.00      0.00    
  3.04     0.130E+05  0  93.5      100.      0.00      0.00    
  3.06     0.131E+05  0  92.7      100.      0.00      0.00    
  3.08     0.133E+05  0  92.0      100.      0.00      0.00    
  3.10     0.134E+05  0  91.3      100.      0.00      0.00    
  3.12     0.135E+05  0  90.5      100.      0.00      0.00    
  3.14     0.136E+05  0  89.8      100.      0.00      0.00    
  3.16     0.138E+05  0  89.2      100.      0.00      0.00    
  3.18     0.139E+05  0  88.5      100.      0.00      0.00    
  3.20     0.140E+05  0  87.8      100.      0.00      0.00    
  3.22     0.141E+05  0  87.2      100.      0.00      0.00    
  3.24     0.143E+05  0  86.6      100.      0.00      0.00    
  3.26     0.144E+05  0  85.9      100.      0.00      0.00    
  3.28     0.145E+05  0  85.3      100.      0.00      0.00    
  3.30     0.147E+05  0  84.7      100.      0.00      0.00    
  3.32     0.148E+05  0  84.2      100.      0.00      0.00    
  3.34     0.149E+05  0  83.6      100.      0.00      0.00    
  3.36     0.150E+05  0  83.0      100.      0.00      0.00    
  3.38     0.152E+05  0  82.5      100.      0.00      0.00    
  3.40     0.153E+05  0  81.9      100.      0.00      0.00    
  3.42     0.154E+05  0  81.4      100.      0.00      0.00    
  3.44     0.155E+05  0  80.9      100.      0.00      0.00    
  3.46     0.157E+05  0  80.4      100.      0.00      0.00    
  3.48     0.158E+05  0  79.9      100.      0.00      0.00    
  3.50     0.159E+05  0  79.4      100.      0.00      0.00    
  3.52     0.161E+05  0  78.9      100.      0.00      0.00    
  3.54     0.162E+05  0  78.4      100.      0.00      0.00    
  3.56     0.163E+05  0  77.9      100.      0.00      0.00    
  3.58     0.164E+05  0  77.5      100.      0.00      0.00    
  3.60     0.166E+05  0  77.0      100.      0.00      0.00    
  3.62     0.167E+05  0  76.6      100.      0.00      0.00    
  3.64     0.168E+05  0  76.1      100.      0.00      0.00    
  3.66     0.169E+05  0  75.7      100.      0.00      0.00    
  3.68     0.171E+05  0  75.3      100.      0.00      0.00    
  3.70     0.172E+05  0  74.9      100.      0.00      0.00    
  3.72     0.173E+05  0  74.5      100.      0.00      0.00    
  3.74     0.175E+05  0  74.1      100.      0.00      0.00    
  3.76     0.176E+05  0  73.7      100.      0.00      0.00    
  3.78     0.177E+05  0  73.3      100.      0.00      0.00    
  3.80     0.178E+05  0  72.9      100.      0.00      0.00    
  3.82     0.180E+05  0  72.5      100.      0.00      0.00    
  3.84     0.181E+05  0  72.1      100.      0.00      0.00    
  3.86     0.182E+05  0  71.8      100.      0.00      0.00    
  3.88     0.183E+05  0  71.4      100.      0.00      0.00    
  3.90     0.185E+05  0  71.0      100.      0.00      0.00    
  3.92     0.186E+05  0  70.7      100.      0.00      0.00    
  3.94     0.187E+05  0  70.4      100.      0.00      0.00    
  3.96     0.189E+05  0  70.0      100.      0.00      0.00    
  3.98     0.190E+05  0  69.7      100.      0.00      0.00    
  4.00     0.191E+05  0  69.3      100.      0.00      0.00    
  4.02     0.192E+05  0  69.0      100.      0.00      0.00    
  4.04     0.194E+05  0  68.7      100.      0.00      0.00    
  4.06     0.195E+05  0  68.4      100.      0.00      0.00    
  4.08     0.196E+05  0  68.1      100.      0.00      0.00    
  4.10     0.198E+05  0  67.8      100.      0.00      0.00    
  4.12     0.199E+05  0  67.5      100.      0.00      0.00    
  4.14     0.200E+05  0  67.2      100.      0.00      0.00    
  4.16     0.201E+05  0  66.9      100.      0.00      0.00    
  4.18     0.203E+05  0  66.6      100.      0.00      0.00    
  4.20     0.204E+05  0  66.3      100.      0.00      0.00    
  4.22     0.205E+05  0  66.0      100.      0.00      0.00    
  4.24     0.206E+05  0  65.7      100.      0.00      0.00    
  4.26     0.208E+05  0  65.5      100.      0.00      0.00    
  4.28     0.209E+05  0  65.2      100.      0.00      0.00    
  4.30     0.210E+05  0  64.9      100.      0.00      0.00    
  4.32     0.212E+05  0  64.7      100.      0.00      0.00    
  4.34     0.213E+05  0  64.4      100.      0.00      0.00    
  4.36     0.214E+05  0  64.1      100.      0.00      0.00    
  4.38     0.215E+05  0  63.9      100.      0.00      0.00    
  4.40     0.217E+05  0  63.6      100.      0.00      0.00    
  4.42     0.218E+05  0  63.4      100.      0.00      0.00    
  4.44     0.219E+05  0  63.1      100.      0.00      0.00    
  4.46     0.220E+05  0  62.9      100.      0.00      0.00    
  4.48     0.222E+05  0  62.7      100.      0.00      0.00    
  4.50     0.223E+05  0  62.4      100.      0.00      0.00    
  4.52     0.224E+05  0  62.2      100.      0.00      0.00    
  4.54     0.226E+05  0  62.0      100.      0.00      0.00    
  4.56     0.227E+05  0  61.7      100.      0.00      0.00    
  4.58     0.228E+05  0  61.5      100.      0.00      0.00    
  4.60     0.229E+05  0  61.3      100.      0.00      0.00    
  4.62     0.231E+05  0  61.1      100.      0.00      0.00    
  4.64     0.232E+05  0  60.9      100.      0.00      0.00    
  4.66     0.233E+05  0  60.7      100.      0.00      0.00    
  4.68     0.234E+05  0  60.4      100.      0.00      0.00    
  4.70     0.236E+05  0  60.2      100.      0.00      0.00    
  4.72     0.237E+05  0  60.0      100.      0.00      0.00    
  4.74     0.238E+05  0  59.8      100.      0.00      0.00    
  4.76     0.240E+05  0  59.6      100.      0.00      0.00    
  4.78     0.241E+05  0  59.4      100.      0.00      0.00    
  4.80     0.242E+05  0  59.2      100.      0.00      0.00    
  4.82     0.243E+05  0  59.0      100.      0.00      0.00    
  4.84     0.245E+05  0  58.9      100.      0.00      0.00    
  4.86     0.246E+05  0  58.7      100.      0.00      0.00    
  4.88     0.247E+05  0  58.5      100.      0.00      0.00    
  4.90     0.248E+05  0  58.3      100.      0.00      0.00    
  4.92     0.250E+05  0  58.1      100.      0.00      0.00    
  4.94     0.251E+05  0  57.9      100.      0.00      0.00    
  4.96     0.252E+05  0  57.8      100.      0.00      0.00    
  4.98     0.254E+05  0  57.6      100.      0.00      0.00    
  5.00     0.255E+05  0  57.4      100.      0.00      0.00    
  5.02     0.256E+05  0  57.2      100.      0.00      0.00    
  5.04     0.257E+05  0  57.1      100.      0.00      0.00    
  5.06     0.259E+05  0  56.9      100.      0.00      0.00    
  5.08     0.260E+05  0  56.7      100.      0.00      0.00    
  5.10     0.261E+05  0  56.6      100.      0.00      0.00    
  5.12     0.262E+05  0  56.4      100.      0.00      0.00    
  5.14     0.264E+05  0  56.2      100.      0.00      0.00    
